"Num_Acc","an","mois","jour","hrmn","lum","agg","int","atm","col","com","adr","gps","lat","long","dep","Jour_semaine","temper","humid","precipit","h_neige"
2.01e+11,5,1,4,1645,1,1,1,1,3,82,"","M",0,"0.0",450,"Mardi",274.8125,89.25,0,0
2.01e+11,5,1,1,945,1,2,1,2,6,146,"CD922","M",0,"0.0",450,"Samedi",283.05,96.875,0.15,0
2.01e+11,5,1,30,1430,1,1,1,8,1,6,"","M",4781400,"184500.0",450,"Dimanche",271.0125,76.625,0,0
2.01e+11,5,1,19,1600,1,1,1,1,3,333,"","M",4797800,"205300.0",450,"Mercredi",278.0375,89.375,0,0
2.01e+11,5,1,11,730,2,1,1,1,6,155,"","M",4770100,"274500.0",450,"Mardi",282.6375,77.625,0,0
2.01e+11,5,1,13,2200,3,1,1,5,6,108,"","M",0,"0.0",450,"Jeudi",276.9625,97.375,0,0
2.01e+11,5,1,17,845,1,2,1,1,6,155,"avenue des Montoires","M",4770000,"263200.0",450,"Lundi",276.7,94.625,0,0
2.01e+11,5,1,2,1845,3,1,2,1,3,60,"","M",0,"0.0",450,"Dimanche",280.4375,86.375,0.05,0
2.01e+11,5,1,13,1815,1,1,1,1,3,279,"","M",4796500,"279700.0",450,"Jeudi",276.9625,97.375,0,0
2.01e+11,5,1,18,900,1,1,2,3,3,307,"","M",4810100,"288500.0",450,"Mardi",279.425,85.125,0.3,0
2.01e+11,5,1,5,1530,1,1,1,2,1,137,"","M",0,"0.0",450,"Mercredi",281,90.25,0.15,0
2.01e+11,5,1,10,2045,5,2,1,2,3,252,"Avenue du 11 novembre","M",0,"0.0",450,"Lundi",279.625,81.25,0,0
2.01e+11,5,1,25,915,1,2,1,4,7,252,"Rue du 11 novembre","M",4819300,"224900.0",450,"Mardi",271.6375,82.5,0.025,0
2.01e+11,5,1,27,1030,1,2,1,1,1,252,"Rue des maisons rouges","M",4818400,"224600.0",450,"Jeudi",270.425,70.875,0,0
2.01e+11,5,1,3,315,3,1,1,1,6,176,"","M",0,"0.0",450,"Lundi",275.075,97.375,0,0
2.01e+11,5,1,18,1400,1,2,1,1,3,209,"","M",0,"0.0",450,"Mardi",279.425,85.125,0.3,0
2.01e+11,5,1,8,2300,3,1,1,1,6,202,"","M",0,"0.0",450,"Samedi",279.7,89.125,0.3,0
2.01e+11,5,1,10,1545,1,1,1,1,1,255,"","M",0,"0.0",450,"Lundi",279.625,81.25,0,0
2.01e+11,5,1,8,1400,1,2,2,1,3,208,"GAILLARDIN (AVENUE)","",NA,"",450,"Samedi",279.7,89.125,0.3,0
2.01e+11,5,1,3,845,1,2,2,1,1,234,"1, CROIX FEUILLATRE (RUE","",NA,"",450,"Lundi",275.075,97.375,0,0
2.01e+11,5,1,1,1,5,2,2,2,2,302,"ROUTE NATIONALE 20","",NA,"",450,"Samedi",283.05,96.875,0.15,0
2.01e+11,5,1,1,1550,1,2,1,2,6,234,"25, SAINT CYR (ROUTE DE","",NA,"",450,"Samedi",283.05,96.875,0.15,0
2.01e+11,5,1,4,1015,1,2,3,1,3,234,"GENEVOIX (RUE MAURICE GE","",NA,"",450,"Mardi",274.8125,89.25,0,0
2.01e+11,5,1,18,1500,1,2,1,2,2,234,"10, JEANNE D'ARC (RUE JE","",NA,"",450,"Mardi",279.425,85.125,0.3,0
2.01e+11,5,1,6,1040,1,2,3,2,2,234,"2, CLEMENCEAU (GEORGES)","",NA,"",450,"Jeudi",282.425,91.875,0.075,0
2.01e+11,5,1,6,1755,5,2,1,1,6,234,"27, PARIS (AVENUE DE)","",NA,"",450,"Jeudi",282.425,91.875,0.075,0
2.01e+11,5,1,7,1750,4,2,2,1,3,169,"151, NATIONALE (ROUTE )","",NA,"",450,"Vendredi",281.6125,88.5,0,0
2.01e+11,5,1,9,1615,1,2,1,1,2,169,"151, GAMBETTA (RUE)","",NA,"",450,"Dimanche",282.325,95.875,0.2,0
2.01e+11,5,1,10,1355,1,2,3,1,3,169,"27, VARENNES (RUE DES)","",NA,"",450,"Lundi",279.625,81.25,0,0
2.01e+11,5,1,10,1420,1,2,1,1,6,234,"15, BARENTIN (QUAI)","",NA,"",450,"Lundi",279.625,81.25,0,0
2.01e+11,5,1,10,955,1,2,1,1,2,232,"887, SOURCE (RUE DE LA)","",NA,"",450,"Lundi",279.625,81.25,0,0
2.01e+11,5,1,11,1730,5,2,1,2,4,232,"GALLOUX (AVENUE GASTON)","",NA,"",450,"Mardi",282.6375,77.625,0,0
2.01e+11,5,1,12,1210,1,2,1,8,3,169,"NATIONALE (ROUTE )","",NA,"",450,"Mercredi",281.5,91.75,0.35,0
2.01e+11,5,1,14,40,5,2,2,5,3,147,"115, VERDUN (RUE DE VERD","",NA,"",450,"Vendredi",275.3625,93.25,0,0
2.01e+11,5,1,15,540,5,2,1,5,1,235,"DE GAULLE (AVENUE CHARLE","",NA,"",450,"Samedi",274.4625,90.375,0,0
2.01e+11,5,1,17,2045,5,2,2,2,3,235,"114, CHARBONNIERE (RUE D","",NA,"",450,"Lundi",276.7,94.625,0,0
2.01e+11,5,1,19,1420,1,2,1,8,2,234,"20, ZAY (AVENUE JEAN ZAY","",NA,"",450,"Mercredi",278.0375,89.375,0,0
2.01e+11,5,1,23,1225,1,2,1,1,6,234,"23, FAUBOURG SAINT VINCE","",NA,"",450,"Dimanche",277.675,86.875,2.375,0
2.01e+11,5,1,22,1330,1,2,1,2,6,147,"76, LAMBALLE (BOULEVARD","",NA,"",450,"Samedi",279.525,95.25,0.475,0
2.01e+11,5,1,25,740,2,2,6,1,3,147,"GAMBETTA (RUE)","",NA,"",450,"Mardi",271.6375,82.5,0.025,0
2.01e+11,5,1,27,220,5,2,3,1,6,147,"21, SAINT MESMIN (ROUTE","",NA,"",450,"Jeudi",270.425,70.875,0,0
2.01e+11,5,1,26,2020,5,2,1,1,6,232,"3342, GENERAL DE GAULLE","",NA,"",450,"Mercredi",271.0125,69.375,0,0
2.01e+11,5,1,28,1755,5,2,2,2,3,234,"MARECHAL LECLERC (RUE DU","",NA,"",450,"Vendredi",273.6875,96.125,0.25,0.02
