"Num_Acc";"senc";"catv";"occutc";"obs";"obsm";"choc";"manv";"an";"mois";"jour";"hrmn";"Jour_semaine";"lum";"agg";"atm";"adr";"long";"lat";"dep"
200500001671;0;7;0;0;2;2;1;2005;1;4;1645;"Mardi";1;1;1;"";"0.0";0;450
200500001671;0;1;0;0;2;5;1;2005;1;4;1645;"Mardi";1;1;1;"";"0.0";0;450
200500001672;0;7;0;13;0;9;1;2005;1;1;945;"Samedi";1;2;2;"CD922";"0.0";0;450
200500001673;0;7;0;0;2;2;13;2005;1;30;1430;"Dimanche";1;1;8;"";"184500.0";4781400;450
200500001673;0;7;0;0;2;7;13;2005;1;30;1430;"Dimanche";1;1;8;"";"184500.0";4781400;450
200500001674;0;7;0;0;2;8;15;2005;1;19;1600;"Mercredi";1;1;1;"";"205300.0";4797800;450
200500001674;0;5;0;0;2;1;1;2005;1;19;1600;"Mercredi";1;1;1;"";"205300.0";4797800;450
200500001675;0;7;0;0;1;2;1;2005;1;11;730;"Mardi";2;1;1;"";"274500.0";4770100;450
200500001676;0;7;0;2;0;2;0;2005;1;13;2200;"Jeudi";3;1;5;"";"0.0";0;450
200500001677;0;7;0;0;1;2;21;2005;1;17;845;"Lundi";1;2;1;"avenue des Montoires";"263200.0";4770000;450
200500001678;0;7;0;1;2;1;1;2005;1;2;1845;"Dimanche";3;1;1;"";"0.0";0;450
200500001678;0;7;0;0;2;3;23;2005;1;2;1845;"Dimanche";3;1;1;"";"0.0";0;450
200500001679;2;7;0;0;2;2;15;2005;1;13;1815;"Jeudi";1;1;1;"";"279700.0";4796500;450
200500001679;0;5;0;0;2;1;1;2005;1;13;1815;"Jeudi";1;1;1;"";"279700.0";4796500;450
200500001680;0;7;0;0;2;8;1;2005;1;18;900;"Mardi";1;1;3;"";"288500.0";4810100;450
200500001680;0;7;0;0;2;1;1;2005;1;18;900;"Mardi";1;1;3;"";"288500.0";4810100;450
200500001681;0;7;0;0;2;1;13;2005;1;5;1530;"Mercredi";1;1;2;"";"0.0";0;450
200500001681;0;7;0;0;2;1;1;2005;1;5;1530;"Mercredi";1;1;2;"";"0.0";0;450
200500001682;0;7;0;0;2;3;15;2005;1;10;2045;"Lundi";5;2;2;"Avenue du 11 novembre";"0.0";0;450
200500001682;0;5;0;0;2;1;1;2005;1;10;2045;"Lundi";5;2;2;"Avenue du 11 novembre";"0.0";0;450
200500001683;0;2;0;12;0;0;1;2005;1;25;915;"Mardi";1;2;4;"Rue du 11 novembre";"224900.0";4819300;450
200500001684;0;7;0;0;2;2;11;2005;1;27;1030;"Jeudi";1;2;1;"Rue des maisons rouges";"224600.0";4818400;450
200500001684;0;5;0;0;2;3;1;2005;1;27;1030;"Jeudi";1;2;1;"Rue des maisons rouges";"224600.0";4818400;450
200500001685;0;17;0;8;0;7;0;2005;1;3;315;"Lundi";3;1;1;"";"0.0";0;450
200500001686;0;2;0;0;2;4;9;2005;1;18;1400;"Mardi";1;2;1;"";"0.0";0;450
200500001686;0;7;0;0;2;1;1;2005;1;18;1400;"Mardi";1;2;1;"";"0.0";0;450
200500001837;0;7;0;13;0;7;14;2005;1;8;2300;"Samedi";3;1;1;"";"0.0";0;450
200500001991;0;16;0;1;0;2;1;2005;1;10;1545;"Lundi";1;1;1;"";"0.0";0;450
200500001991;0;15;0;0;0;6;23;2005;1;10;1545;"Lundi";1;1;1;"";"0.0";0;450
200500003612;0;5;0;0;0;0;2;2005;1;8;1400;"Samedi";1;2;1;"GAILLARDIN (AVENUE)";"";NA;450
200500003612;0;7;0;0;2;3;15;2005;1;8;1400;"Samedi";1;2;1;"GAILLARDIN (AVENUE)";"";NA;450
200500003613;0;7;0;0;2;1;15;2005;1;3;845;"Lundi";1;2;1;"1, CROIX FEUILLATRE (RUE";"";NA;450
200500003613;0;2;0;0;2;7;2;2005;1;3;845;"Lundi";1;2;1;"1, CROIX FEUILLATRE (RUE";"";NA;450
200500003614;0;7;0;0;2;1;2;2005;1;1;1;"Samedi";5;2;2;"ROUTE NATIONALE 20";"";NA;450
200500003614;0;99;0;0;0;6;2;2005;1;1;1;"Samedi";5;2;2;"ROUTE NATIONALE 20";"";NA;450
200500003615;0;7;0;6;0;2;13;2005;1;1;1550;"Samedi";1;2;2;"25, SAINT CYR (ROUTE DE";"";NA;450
200500003616;0;1;0;0;2;1;19;2005;1;4;1015;"Mardi";1;2;1;"GENEVOIX (RUE MAURICE GE";"";NA;450
200500003616;0;7;0;0;0;2;16;2005;1;4;1015;"Mardi";1;2;1;"GENEVOIX (RUE MAURICE GE";"";NA;450
200500003617;0;2;0;0;2;1;2;2005;1;18;1500;"Mardi";1;2;2;"10, JEANNE D'ARC (RUE JE";"";NA;450
200500003617;0;7;0;0;2;6;2;2005;1;18;1500;"Mardi";1;2;2;"10, JEANNE D'ARC (RUE JE";"";NA;450
