"Num_Acc";"an";"mois";"jour";"hrmn";"Jour_semaine";"lum";"agg";"atm";"adr";"long";"lat";"dep";"catu";"grav";"sexe";"trajet";"age";"gravit";"heure";"weekend";"grnds_vacs";"fev";"oct";"traj1";"traj2";"traj3";"traj4";"traj5";"catusag";"atmos";"lumi";"cat1";"cat2";"cat3";"cat4";"cat5";"cat6"
200500001671;2005;1;4;1645;"Mardi";1;0;1;"";"0.0";0;450;1;1;1;5;68;0;16;0;0;0;0;0;0;0;0;1;1;0;3;1;0;1;0;0;0
0;2005;1;4;1645;"Mardi";1;0;1;"";"0.0";0;450;1;2;0;5;85;3;16;0;0;0;0;0;0;0;0;1;1;0;3;0;0;1;0;0;0
200500001672;2005;1;1;945;"Samedi";1;1;2;"CD922";"0.0";0;450;1;4;0;1;28;1;9;1;0;0;0;1;0;0;0;0;1;1;3;0;0;1;0;0;0
200500001672;2005;1;1;945;"Samedi";1;1;2;"CD922";"0.0";0;450;2;1;0;9;24;0;9;1;0;0;0;0;0;0;0;0;1;1;3;0;0;1;0;0;0
200500001672;2005;1;1;945;"Samedi";1;1;2;"CD922";"0.0";0;450;2;3;1;9;21;2;9;1;0;0;0;0;0;0;0;0;1;1;3;0;0;1;0;0;0
200500001673;2005;1;30;1430;"Dimanche";1;0;8;"";"184500.0";4781400;450;1;1;1;5;39;0;14;1;0;0;0;0;0;0;0;1;1;0;3;0;0;1;0;0;0
200500001673;2005;1;30;1430;"Dimanche";1;0;8;"";"184500.0";4781400;450;2;1;0;9;13;0;14;1;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0
200500001673;2005;1;30;1430;"Dimanche";1;0;8;"";"184500.0";4781400;450;2;4;1;9;14;1;14;1;0;0;0;0;0;0;0;0;1;0;3;0;0;1;0;0;0
200500001673;2005;1;30;1430;"Dimanche";1;0;8;"";"184500.0";4781400;450;1;1;0;5;59;0;14;1;0;0;0;0;0;0;0;1;1;0;3;0;0;1;0;0;0
200500001674;2005;1;19;1600;"Mercredi";1;0;1;"";"205300.0";4797800;450;1;1;0;4;54;0;16;0;0;0;0;0;0;0;1;0;1;0;3;0;0;1;0;0;0
200500001674;2005;1;19;1600;"Mercredi";1;0;1;"";"205300.0";4797800;450;1;2;0;1;31;3;16;0;0;0;0;1;0;0;0;0;1;0;3;0;0;1;0;0;0
200500001675;2005;1;11;730;"Mardi";2;0;1;"";"274500.0";4770100;450;1;1;0;5;66;0;7;0;0;0;0;0;0;0;0;1;1;0;2;0;0;1;0;0;0
200500001675;2005;1;11;730;"Mardi";2;0;1;"";"274500.0";4770100;450;3;2;0;5;84;3;7;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0
200500001676;2005;1;13;2200;"Jeudi";3;0;5;"";"0.0";0;450;1;4;0;5;21;1;22;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0
200500001677;2005;1;17;845;"Lundi";1;1;1;"avenue des Montoires";"263200.0";4770000;450;1;1;0;4;34;0;8;0;0;0;0;0;0;0;1;0;1;0;3;0;0;1;0;0;0
200500001677;2005;1;17;845;"Lundi";1;1;1;"avenue des Montoires";"263200.0";4770000;450;3;2;0;5;40;3;8;0;0;0;0;0;0;0;0;1;0;0;3;0;0;1;0;0;0
200500001678;2005;1;2;1845;"Dimanche";3;0;1;"";"0.0";0;450;1;1;0;5;64;0;18;1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0
