"Num_Acc";"grav0";"grav1";"grav2";"grav3"
"200500001671";"1";"0";"0";"1"
"200500001672";"1";"1";"1";"0"
"200500001673";"3";"1";"0";"0"
"200500001674";"1";"0";"0";"1"
"200500001675";"1";"0";"0";"1"
"200500001676";"0";"1";"0";"0"
"200500001677";"1";"0";"0";"1"
"200500001678";"1";"1";"1";"0"
"200500001679";"1";"0";"1";"0"
"200500001680";"0";"1";"2";"1"
"200500001681";"0";"1";"3";"0"
"200500001682";"1";"0";"1";"0"
"200500001683";"0";"0";"1";"0"
"200500001684";"1";"0";"0";"1"
"200500001685";"0";"1";"0";"0"
"200500001686";"1";"0";"0";"1"
"200500001837";"0";"1";"0";"0"
"200500001991";"1";"0";"1";"0"
"200500003612";"1";"0";"1";"0"
"200500003613";"1";"1";"0";"0"
"200500003614";"2";"1";"0";"0"
"200500003615";"0";"2";"0";"0"
"200500003616";"1";"1";"0";"0"
"200500003617";"2";"0";"1";"0"
"200500003618";"1";"0";"1";"0"
"200500003619";"1";"1";"0";"0"
"200500003620";"1";"1";"0";"0"
"200500003621";"1";"1";"0";"0"
"200500003622";"1";"1";"0";"0"
"200500003623";"1";"1";"0";"0"
"200500003624";"1";"1";"0";"0"
"200500003625";"3";"1";"1";"0"
"200500003626";"1";"1";"0";"0"
"200500003627";"3";"1";"0";"0"
"200500003628";"1";"2";"0";"0"
"200500003629";"1";"2";"0";"0"
"200500003630";"1";"1";"0";"0"
"200500003631";"1";"0";"1";"0"
"200500003632";"0";"2";"0";"0"
"200500003633";"1";"1";"0";"0"
"200500003634";"0";"0";"1";"0"
"200500003635";"0";"2";"0";"0"
"200500003636";"0";"1";"0";"0"
"200500003637";"1";"1";"0";"0"
"200500003638";"2";"2";"0";"0"
"200500003639";"1";"1";"0";"0"
"200500003640";"0";"0";"1";"0"
"200500003641";"2";"1";"0";"0"
"200500007984";"0";"0";"1";"0"
"200500007985";"3";"0";"1";"0"
"200500007986";"0";"0";"3";"0"
"200500007987";"1";"0";"1";"0"
"200500007988";"1";"0";"1";"0"
"200500007989";"1";"1";"0";"0"
"200500007990";"2";"0";"1";"0"
"200500007991";"0";"2";"0";"0"
"200500007992";"1";"0";"1";"0"
"200500007993";"0";"1";"0";"0"
"200500007994";"3";"1";"2";"0"
"200500007995";"1";"1";"0";"0"
"200500007996";"0";"1";"0";"0"
"200500007997";"0";"0";"1";"0"
"200500007998";"2";"1";"0";"0"
"200500007999";"0";"1";"0";"0"
"200500008000";"3";"1";"0";"0"
"200500008001";"1";"0";"1";"0"
"200500008002";"2";"2";"1";"0"
"200500008003";"0";"1";"0";"0"
"200500008004";"1";"1";"0";"0"
"200500008005";"1";"0";"1";"0"
"200500008006";"1";"1";"0";"0"
"200500008007";"1";"2";"0";"0"
"200500008008";"1";"1";"0";"0"
"200500008009";"0";"0";"1";"0"
"200500008010";"2";"1";"0";"0"
"200500008011";"1";"1";"0";"0"
"200500008012";"2";"1";"0";"0"
"200500008013";"0";"1";"0";"0"
"200500008014";"1";"1";"0";"0"
"200500008015";"1";"0";"1";"0"
"200500008016";"1";"0";"1";"0"
"200500008017";"1";"1";"0";"0"
"200500011723";"2";"0";"0";"1"
"200500011724";"0";"0";"1";"0"
"200500011725";"1";"1";"0";"0"
"200500011726";"1";"0";"1";"0"
"200500011727";"0";"1";"0";"0"
"200500011728";"1";"1";"0";"0"
"200500011729";"1";"1";"0";"0"
"200500011730";"0";"1";"0";"0"
"200500011731";"0";"2";"0";"0"
"200500011732";"0";"0";"1";"0"
"200500011733";"0";"0";"1";"0"
"200500011734";"3";"2";"1";"0"
"200500011735";"5";"5";"0";"0"
"200500011736";"0";"0";"0";"1"
"200500011737";"0";"0";"1";"0"
"200500011738";"1";"1";"1";"0"
"200500011739";"1";"0";"2";"1"
"200500011863";"0";"3";"0";"0"
"200500011864";"0";"0";"1";"0"
"200500013619";"0";"6";"0";"1"
"200500013620";"1";"1";"0";"0"
"200500013621";"0";"3";"1";"0"
"200500013622";"1";"0";"1";"0"
"200500013623";"1";"2";"0";"1"
"200500013624";"0";"0";"1";"0"
"200500013625";"1";"1";"0";"0"
"200500013626";"4";"1";"0";"0"
"200500013627";"2";"0";"1";"0"
"200500013628";"0";"2";"0";"0"
"200500013629";"1";"0";"2";"0"
"200500013630";"0";"1";"0";"0"
"200500013631";"0";"0";"1";"0"
"200500013632";"2";"0";"1";"0"
"200500013633";"0";"0";"1";"0"
"200500013634";"0";"4";"0";"0"
"200500013635";"1";"1";"0";"0"
"200500013772";"0";"1";"1";"0"
"200500013774";"2";"0";"1";"1"
"200500013775";"0";"0";"1";"0"
"200500015441";"1";"1";"1";"0"
"200500015442";"1";"1";"0";"0"
"200500015443";"2";"2";"0";"0"
"200500015444";"0";"0";"1";"0"
"200500015445";"0";"2";"0";"0"
"200500015446";"0";"1";"0";"0"
"200500015447";"0";"1";"2";"0"
"200500015448";"0";"1";"0";"0"
"200500015449";"2";"1";"0";"0"
"200500015450";"0";"2";"0";"0"
"200500015451";"1";"1";"0";"0"
"200500015452";"1";"1";"0";"0"
"200500015453";"0";"1";"0";"0"
"200500019806";"0";"1";"1";"0"
"200500019807";"0";"4";"0";"1"
"200500019808";"0";"1";"2";"0"
"200500019809";"1";"1";"0";"0"
"200500019810";"3";"0";"1";"0"
"200500019811";"1";"1";"0";"0"
"200500019812";"1";"1";"0";"0"
"200500019813";"1";"1";"0";"0"
"200500019814";"1";"1";"0";"0"
"200500019815";"1";"1";"0";"0"
"200500019816";"1";"1";"0";"0"
"200500019817";"1";"2";"0";"0"
"200500019818";"0";"0";"1";"0"
"200500019819";"1";"1";"0";"0"
"200500019820";"0";"1";"0";"0"
"200500019821";"1";"1";"0";"0"
"200500019822";"1";"1";"0";"0"
"200500019823";"1";"1";"0";"0"
"200500019824";"1";"1";"0";"0"
"200500019825";"1";"2";"0";"0"
"200500019826";"1";"1";"0";"0"
"200500019827";"0";"0";"1";"0"
"200500019828";"1";"1";"0";"0"
"200500019829";"1";"1";"0";"0"
"200500019830";"1";"0";"1";"0"
"200500019831";"1";"1";"0";"0"
"200500019832";"1";"1";"0";"0"
"200500019833";"3";"1";"0";"0"
"200500019834";"0";"1";"0";"0"
"200500019835";"1";"1";"0";"0"
"200500019836";"1";"0";"1";"0"
"200500019837";"1";"1";"0";"0"
"200500019838";"1";"1";"0";"0"
"200500019839";"1";"0";"1";"0"
"200500019840";"0";"1";"0";"0"
"200500019841";"0";"1";"1";"0"
"200500019842";"1";"1";"0";"0"
"200500019843";"0";"1";"0";"1"
"200500019844";"0";"2";"1";"0"
"200500019845";"1";"1";"0";"0"
"200500019846";"0";"0";"1";"0"
"200500024352";"0";"0";"1";"0"
"200500024353";"1";"1";"0";"0"
"200500024354";"0";"1";"0";"0"
"200500024355";"2";"1";"0";"0"
"200500024356";"0";"2";"0";"0"
"200500024357";"1";"1";"0";"0"
"200500024358";"1";"0";"1";"0"
"200500024359";"0";"1";"0";"0"
"200500024360";"1";"1";"2";"0"
"200500024361";"1";"1";"0";"0"
"200500024362";"0";"1";"0";"0"
"200500024363";"1";"1";"0";"0"
"200500024364";"0";"1";"0";"0"
"200500024365";"1";"1";"0";"0"
"200500024366";"1";"2";"0";"0"
"200500024496";"0";"0";"1";"0"
