"Num_Acc";"cat1";"cat2";"cat3";"cat4";"cat5";"cat6"
"200500000001";"1";"0";"1";"0";"0";"0"
"200500001672";"0";"0";"1";"0";"0";"0"
"200500001673";"0";"0";"2";"0";"0";"0"
"200500001674";"0";"0";"1";"0";"0";"0"
"200500001675";"0";"0";"1";"0";"0";"0"
"200500001676";"0";"0";"1";"0";"0";"0"
"200500001677";"0";"0";"1";"0";"0";"0"
"200500001678";"0";"0";"2";"0";"0";"0"
"200500001679";"0";"0";"1";"0";"0";"0"
"200500001680";"0";"0";"2";"0";"0";"0"
"200500001681";"0";"0";"2";"0";"0";"0"
"200500001682";"0";"0";"1";"0";"0";"0"
"200500001683";"0";"1";"0";"0";"0";"0"
"200500001684";"0";"0";"1";"0";"0";"0"
"200500001685";"0";"0";"0";"1";"0";"0"
"200500001686";"0";"1";"1";"0";"0";"0"
"200500001837";"0";"0";"1";"0";"0";"0"
"200500001991";"0";"0";"0";"2";"0";"0"
"200500003612";"0";"0";"1";"0";"0";"0"
"200500003613";"0";"1";"1";"0";"0";"0"
"200500003614";"0";"0";"1";"0";"0";"1"
"200500003615";"0";"0";"1";"0";"0";"0"
"200500003616";"1";"0";"1";"0";"0";"0"
"200500003617";"0";"1";"1";"0";"0";"0"
"200500003618";"0";"0";"1";"0";"0";"0"
"200500003619";"1";"0";"1";"0";"0";"0"
"200500003620";"0";"0";"2";"0";"0";"0"
"200500003621";"0";"1";"1";"0";"0";"0"
"200500003622";"0";"0";"2";"0";"0";"0"
"200500003623";"0";"0";"1";"0";"0";"0"
"200500003624";"1";"0";"1";"0";"0";"0"
"200500003625";"0";"0";"3";"0";"0";"0"
"200500003626";"0";"0";"2";"0";"0";"0"
"200500003627";"0";"0";"2";"0";"0";"0"
"200500003628";"0";"0";"2";"0";"0";"0"
"200500003629";"0";"0";"2";"0";"0";"0"
"200500003630";"0";"0";"2";"0";"0";"0"
"200500003631";"0";"0";"1";"0";"0";"0"
"200500003632";"0";"0";"1";"0";"0";"0"
"200500003633";"1";"0";"1";"0";"0";"0"
"200500003634";"0";"0";"1";"0";"0";"0"
"200500003635";"0";"0";"2";"0";"0";"0"
"200500003636";"0";"0";"1";"0";"0";"0"
"200500003637";"0";"0";"2";"0";"0";"0"
"200500003638";"0";"0";"3";"0";"0";"0"
"200500003639";"0";"0";"1";"0";"0";"1"
"200500003640";"0";"0";"1";"0";"0";"0"
"200500003641";"0";"0";"1";"0";"0";"0"
"200500007984";"0";"0";"1";"0";"0";"0"
"200500007985";"0";"1";"1";"0";"0";"0"
"200500007986";"0";"0";"1";"0";"0";"0"
"200500007987";"0";"1";"1";"0";"0";"0"
"200500007988";"0";"0";"1";"0";"0";"0"
"200500007989";"0";"0";"1";"0";"0";"0"
"200500007990";"0";"0";"2";"0";"0";"0"
"200500007991";"0";"0";"2";"0";"0";"0"
"200500007992";"0";"1";"0";"0";"0";"0"
"200500007993";"0";"0";"1";"0";"0";"0"
"200500007994";"0";"0";"3";"0";"0";"0"
"200500007995";"0";"1";"1";"0";"0";"0"
"200500007996";"0";"0";"1";"0";"0";"0"
"200500007997";"0";"0";"1";"0";"0";"0"
"200500007998";"0";"0";"2";"1";"0";"0"
"200500007999";"0";"0";"0";"0";"0";"0"
"200500008000";"0";"0";"2";"0";"0";"0"
"200500008001";"0";"0";"1";"1";"0";"0"
"200500008002";"0";"0";"4";"0";"0";"0"
"200500008003";"0";"0";"0";"0";"0";"0"
"200500008004";"0";"0";"1";"0";"0";"0"
"200500008005";"0";"0";"1";"0";"0";"0"
"200500008006";"1";"0";"1";"0";"0";"0"
"200500008007";"0";"0";"3";"0";"0";"0"
"200500008008";"0";"0";"1";"0";"0";"0"
"200500008009";"0";"1";"0";"0";"0";"0"
"200500008010";"0";"0";"1";"0";"0";"0"
"200500008011";"0";"0";"2";"0";"0";"0"
"200500008012";"0";"1";"1";"0";"0";"0"
"200500008013";"0";"0";"1";"0";"0";"0"
"200500008014";"0";"0";"1";"0";"0";"0"
"200500008015";"0";"0";"0";"0";"0";"0"
"200500008016";"0";"1";"1";"0";"0";"0"
"200500008017";"0";"0";"1";"1";"0";"0"
"200500011723";"0";"0";"1";"0";"0";"0"
"200500011724";"0";"0";"1";"0";"0";"0"
"200500011725";"1";"0";"1";"0";"0";"0"
"200500011726";"0";"0";"0";"0";"0";"0"
"200500011727";"0";"0";"1";"0";"0";"0"
"200500011728";"0";"0";"2";"0";"0";"0"
"200500011729";"0";"0";"1";"0";"0";"0"
"200500011730";"0";"0";"1";"0";"0";"0"
"200500011731";"0";"0";"2";"0";"0";"0"
"200500011732";"0";"0";"1";"0";"0";"0"
"200500011733";"0";"0";"1";"0";"0";"0"
"200500011734";"0";"0";"2";"0";"0";"0"
"200500011735";"0";"0";"3";"1";"0";"0"
"200500011736";"0";"0";"1";"0";"0";"0"
"200500011737";"0";"0";"1";"0";"0";"0"
"200500011738";"0";"0";"2";"0";"0";"0"
"200500011739";"0";"0";"2";"0";"0";"0"
"200500011863";"0";"0";"1";"0";"0";"0"
"200500011864";"0";"0";"1";"0";"0";"0"
"200500013619";"0";"0";"5";"1";"0";"0"
"200500013620";"0";"0";"1";"0";"0";"1"
"200500013621";"0";"0";"2";"0";"0";"0"
"200500013622";"0";"0";"1";"0";"0";"0"
"200500013623";"0";"0";"2";"0";"0";"0"
"200500013624";"0";"0";"1";"0";"0";"0"
"200500013625";"0";"0";"1";"1";"0";"0"
"200500013626";"0";"1";"1";"0";"0";"0"
"200500013627";"0";"0";"2";"1";"0";"0"
"200500013628";"0";"0";"2";"0";"0";"0"
"200500013629";"0";"0";"1";"1";"0";"0"
"200500013630";"0";"0";"1";"0";"0";"0"
"200500013631";"0";"0";"1";"0";"0";"0"
"200500013632";"0";"0";"1";"1";"0";"0"
"200500013633";"0";"1";"0";"0";"0";"0"
"200500013634";"0";"0";"1";"0";"0";"0"
"200500013635";"0";"0";"2";"0";"0";"0"
"200500013772";"0";"0";"1";"0";"0";"0"
"200500013774";"0";"0";"1";"0";"0";"0"
"200500013775";"0";"0";"1";"0";"0";"0"
"200500015441";"0";"1";"1";"0";"0";"0"
"200500015442";"1";"0";"1";"0";"0";"0"
"200500015443";"0";"0";"3";"0";"0";"0"
"200500015444";"0";"0";"1";"0";"0";"0"
"200500015445";"0";"0";"2";"0";"0";"0"
"200500015446";"0";"0";"2";"0";"0";"0"
"200500015447";"0";"0";"1";"0";"0";"0"
"200500015448";"0";"0";"1";"0";"0";"0"
"200500015449";"0";"0";"2";"0";"0";"0"
"200500015450";"0";"1";"0";"0";"0";"0"
"200500015451";"0";"1";"1";"0";"0";"0"
"200500015452";"0";"0";"1";"0";"0";"0"
"200500015453";"0";"0";"0";"0";"0";"0"
"200500019806";"0";"0";"2";"0";"0";"0"
"200500019807";"0";"0";"3";"0";"0";"0"
"200500019808";"0";"0";"2";"0";"0";"0"
"200500019809";"0";"1";"1";"0";"0";"0"
"200500019810";"0";"0";"1";"0";"0";"0"
"200500019811";"0";"1";"1";"0";"0";"0"
"200500019812";"1";"0";"1";"0";"0";"0"
"200500019813";"0";"0";"2";"0";"0";"0"
"200500019814";"0";"0";"1";"0";"0";"0"
"200500019815";"0";"0";"1";"0";"0";"0"
"200500019816";"0";"1";"1";"0";"0";"0"
"200500019817";"0";"0";"2";"0";"0";"0"
"200500019818";"0";"0";"1";"0";"0";"0"
"200500019819";"0";"1";"1";"0";"0";"0"
"200500019820";"0";"1";"0";"0";"0";"0"
"200500019821";"1";"0";"1";"0";"0";"0"
"200500019822";"0";"1";"0";"0";"0";"0"
"200500019823";"0";"0";"1";"0";"0";"0"
"200500019824";"0";"0";"1";"0";"0";"0"
"200500019825";"0";"0";"2";"0";"0";"0"
